Entity,Code,Year,Hospital beds (total number)
East Asia & Pacific (IDA & IBRD countries),,1995,4362241
East Asia & Pacific (IDA & IBRD countries),,1996,4362135
East Asia & Pacific (IDA & IBRD countries),,1997,4340127
East Asia & Pacific (IDA & IBRD countries),,1998,3963828
East Asia & Pacific (IDA & IBRD countries),,1999,4448372
East Asia & Pacific (IDA & IBRD countries),,2000,4382407
East Asia & Pacific (IDA & IBRD countries),,2001,4350502
East Asia & Pacific (IDA & IBRD countries),,2002,3709586
East Asia & Pacific (IDA & IBRD countries),,2003,4051819
East Asia & Pacific (IDA & IBRD countries),,2004,5505688
East Asia & Pacific (IDA & IBRD countries),,2005,4540832
East Asia & Pacific (IDA & IBRD countries),,2006,3971315
East Asia & Pacific (IDA & IBRD countries),,2009,7471087
East Asia & Pacific (IDA & IBRD countries),,2010,5531959
East Asia & Pacific (IDA & IBRD countries),,2011,6951972
East Asia & Pacific (IDA & IBRD countries),,2012,6921534
East Asia & Pacific (excluding high income),,1965,1405968
East Asia & Pacific (excluding high income),,1966,1525785
East Asia & Pacific (excluding high income),,1967,1545521
East Asia & Pacific (excluding high income),,1968,1533890
East Asia & Pacific (excluding high income),,1969,1576239
East Asia & Pacific (excluding high income),,1970,1610830
East Asia & Pacific (excluding high income),,1971,1813704
East Asia & Pacific (excluding high income),,1972,2012527
East Asia & Pacific (excluding high income),,1973,2132785
East Asia & Pacific (excluding high income),,1974,2278254
East Asia & Pacific (excluding high income),,1975,2236362
East Asia & Pacific (excluding high income),,1976,2539392
East Asia & Pacific (excluding high income),,1977,2687710
East Asia & Pacific (excluding high income),,1978,2822645
East Asia & Pacific (excluding high income),,1979,2947742
East Asia & Pacific (excluding high income),,1980,3025259
East Asia & Pacific (excluding high income),,1981,3170325
East Asia & Pacific (excluding high income),,1982,3139905
East Asia & Pacific (excluding high income),,1983,3233509
East Asia & Pacific (excluding high income),,1984,3353924
East Asia & Pacific (excluding high income),,1985,3130697
East Asia & Pacific (excluding high income),,1986,3549661
East Asia & Pacific (excluding high income),,1987,3786374
East Asia & Pacific (excluding high income),,1988,3940825
East Asia & Pacific (excluding high income),,1989,3722508
East Asia & Pacific (excluding high income),,1990,3657877
East Asia & Pacific (excluding high income),,1991,3702955
East Asia & Pacific (excluding high income),,1992,3763998
East Asia & Pacific (excluding high income),,1993,3838123
East Asia & Pacific (excluding high income),,1994,3986052
East Asia & Pacific (excluding high income),,1995,4418564
East Asia & Pacific (excluding high income),,1996,4418414
East Asia & Pacific (excluding high income),,1997,4396015
East Asia & Pacific (excluding high income),,1998,4014702
East Asia & Pacific (excluding high income),,1999,4505408
East Asia & Pacific (excluding high income),,2000,4438529
East Asia & Pacific (excluding high income),,2001,4406190
East Asia & Pacific (excluding high income),,2002,4024356
East Asia & Pacific (excluding high income),,2003,4103705
East Asia & Pacific (excluding high income),,2004,5576189
East Asia & Pacific (excluding high income),,2005,4598932
East Asia & Pacific (excluding high income),,2006,4021965
East Asia & Pacific (excluding high income),,2009,7565895
East Asia & Pacific (excluding high income),,2010,5891912
East Asia & Pacific (excluding high income),,2011,7039831
East Asia & Pacific (excluding high income),,2012,7274380
Ecuador,ECU,1960,8500
Ecuador,ECU,1970,14258
Ecuador,ECU,1975,17810
Ecuador,ECU,1980,15237
Ecuador,ECU,1990,16821
Ecuador,ECU,1993,17538
Ecuador,ECU,1996,18140
Ecuador,ECU,2002,19715
Ecuador,ECU,2003,22728
Ecuador,ECU,2007,21445
Ecuador,ECU,2008,21804
Ecuador,ECU,2009,22162
Ecuador,ECU,2010,24018
Ecuador,ECU,2011,24390
Ecuador,ECU,2012,23211
Ecuador,ECU,2013,23561
Egypt,EGY,1960,57180
Egypt,EGY,1970,75257
Egypt,EGY,1975,78509
Egypt,EGY,1980,87757
Egypt,EGY,1981,92006
Egypt,EGY,1986,105541
Egypt,EGY,1988,113457
Egypt,EGY,1989,110668
Egypt,EGY,1990,116249
Egypt,EGY,1991,116239
Egypt,EGY,1992,117357
Egypt,EGY,1993,115528
Egypt,EGY,1996,133563
Egypt,EGY,1997,136274
Egypt,EGY,2000,144546
Egypt,EGY,2001,147321
Egypt,EGY,2002,150119
Egypt,EGY,2003,160217
Egypt,EGY,2004,163179
Egypt,EGY,2005,166152
Egypt,EGY,2006,169122
Egypt,EGY,2007,164287
Egypt,EGY,2008,167236
Egypt,EGY,2009,137929
Egypt,EGY,2010,140694
Egypt,EGY,2011,42265
Egypt,EGY,2012,43211
Egypt,EGY,2013,44202
Egypt,EGY,2014,144679
El Salvador,SLV,1960,6040
El Salvador,SLV,1970,6988
El Salvador,SLV,1975,8247
El Salvador,SLV,1990,7753
El Salvador,SLV,1993,8236
El Salvador,SLV,1996,9388
El Salvador,SLV,2005,5447
El Salvador,SLV,2006,5471
El Salvador,SLV,2007,4274
El Salvador,SLV,2008,4905
El Salvador,SLV,2009,6773
El Salvador,SLV,2010,6184
El Salvador,SLV,2011,6211
El Salvador,SLV,2012,6862
El Salvador,SLV,2013,6893
El Salvador,SLV,2014,8184
Equatorial Guinea,GNQ,1960,1276
Equatorial Guinea,GNQ,1988,1107
Equatorial Guinea,GNQ,2001,695
Equatorial Guinea,GNQ,2005,1649
Equatorial Guinea,GNQ,2009,1713
Equatorial Guinea,GNQ,2010,1982
Eritrea,ERI,2006,3502
Eritrea,ERI,2011,2250
Estonia,EST,1980,18000
Estonia,EST,1985,18765
Estonia,EST,1986,18891
Estonia,EST,1987,18839
Estonia,EST,1988,18785
Estonia,EST,1989,18709
Estonia,EST,1990,18219
Estonia,EST,1991,17626
Estonia,EST,1992,14843
Estonia,EST,1993,14377
Estonia,EST,1994,12521
Estonia,EST,1995,11996
Estonia,EST,1996,11183
Estonia,EST,1997,10790
Estonia,EST,1998,10507
Estonia,EST,1999,10469
Estonia,EST,2000,9779
Estonia,EST,2001,9162
Estonia,EST,2002,8276
Estonia,EST,2003,7813
Estonia,EST,2004,7767
Estonia,EST,2005,7292
Estonia,EST,2006,7476
Estonia,EST,2007,7349
Estonia,EST,2008,7530
Estonia,EST,2009,7166
Estonia,EST,2010,7022
Estonia,EST,2011,7114
Estonia,EST,2012,7309
Estonia,EST,2013,6597
Estonia,EST,2014,6584
Estonia,EST,2015,6524
Estonia,EST,2016,6261
Estonia,EST,2017,6185
Eswatini,SWZ,1960,655
Eswatini,SWZ,1970,1455
Eswatini,SWZ,2006,2176
Eswatini,SWZ,2011,2251
Ethiopia,ETH,1960,6518
Ethiopia,ETH,1970,8104
Ethiopia,ETH,1975,9304
Ethiopia,ETH,1980,10384
Ethiopia,ETH,1990,11565
Ethiopia,ETH,2004,14848
Ethiopia,ETH,2006,15698
Ethiopia,ETH,2008,16583
Ethiopia,ETH,2011,567882
Ethiopia,ETH,2015,30251
Euro area,,1970,2773448
Euro area,,1980,3004342
Euro area,,1985,2775914
Euro area,,1990,2565188
Euro area,,1991,2511241
Euro area,,1992,2484305
Euro area,,1993,2444493
Euro area,,1994,2419778
Euro area,,1995,2384283
Euro area,,1996,2385765
Euro area,,1997,2306207
Euro area,,1998,2259514
Euro area,,1999,2203218
Euro area,,2000,2159580
Euro area,,2001,2134855
Euro area,,2002,2105951
Euro area,,2003,2066323
Euro area,,2004,2034925
Euro area,,2005,2024034
Euro area,,2006,1986811
Euro area,,2007,1976017
Euro area,,2008,1947393
Euro area,,2009,1923962
Euro area,,2010,1920610
Euro area,,2011,1892988
Euro area,,2012,1874528
Euro area,,2013,2080308
Europe & Central Asia,,1980,7271233
Europe & Central Asia,,1985,7847069
Europe & Central Asia,,1986,7965404
Europe & Central Asia,,1987,7998863
Europe & Central Asia,,1988,8021038
Europe & Central Asia,,1989,8021012
Europe & Central Asia,,1990,7724930
Europe & Central Asia,,1991,7643759
Europe & Central Asia,,1992,7393760
Europe & Central Asia,,1993,7268788
Europe & Central Asia,,1994,7117630
Europe & Central Asia,,1995,6963914
Europe & Central Asia,,1996,6781977
Europe & Central Asia,,1997,6482319
Europe & Central Asia,,1998,6280755
Europe & Central Asia,,1999,6109692
Europe & Central Asia,,2000,6007574
Europe & Central Asia,,2001,6005786
Europe & Central Asia,,2002,5895121
Europe & Central Asia,,2003,5829062
Europe & Central Asia,,2004,5675989
Europe & Central Asia,,2005,5618800
Europe & Central Asia,,2006,5562032
Europe & Central Asia,,2007,5456975
Europe & Central Asia,,2008,5409185
Europe & Central Asia,,2009,5388181
Europe & Central Asia,,2010,5313739
Europe & Central Asia,,2011,5216362
Europe & Central Asia,,2012,5192249
Europe & Central Asia,,2013,5325119
Europe & Central Asia (IDA & IBRD countries),,1985,4165592
Europe & Central Asia (IDA & IBRD countries),,1986,4416215
Europe & Central Asia (IDA & IBRD countries),,1987,4471901
Europe & Central Asia (IDA & IBRD countries),,1988,4526162
Europe & Central Asia (IDA & IBRD countries),,1989,4571150
Europe & Central Asia (IDA & IBRD countries),,1990,4399314
Europe & Central Asia (IDA & IBRD countries),,1991,4322168
Europe & Central Asia (IDA & IBRD countries),,1992,4236845
Europe & Central Asia (IDA & IBRD countries),,1993,4179527
Europe & Central Asia (IDA & IBRD countries),,1994,4067789
Europe & Central Asia (IDA & IBRD countries),,1995,3980817
Europe & Central Asia (IDA & IBRD countries),,1996,3823613
Europe & Central Asia (IDA & IBRD countries),,1997,3613241
Europe & Central Asia (IDA & IBRD countries),,1998,3485111
Europe & Central Asia (IDA & IBRD countries),,1999,3386783
Europe & Central Asia (IDA & IBRD countries),,2000,3328702
Europe & Central Asia (IDA & IBRD countries),,2001,3400654
Europe & Central Asia (IDA & IBRD countries),,2002,3279404
Europe & Central Asia (IDA & IBRD countries),,2003,3255096
Europe & Central Asia (IDA & IBRD countries),,2004,3139095
Europe & Central Asia (IDA & IBRD countries),,2005,3101115
Europe & Central Asia (IDA & IBRD countries),,2006,3089023
Europe & Central Asia (IDA & IBRD countries),,2007,3014189
Europe & Central Asia (IDA & IBRD countries),,2008,3004575
Europe & Central Asia (IDA & IBRD countries),,2009,3012035
Europe & Central Asia (IDA & IBRD countries),,2010,2948763
Europe & Central Asia (IDA & IBRD countries),,2011,2889158
Europe & Central Asia (IDA & IBRD countries),,2012,2878549
Europe & Central Asia (IDA & IBRD countries),,2013,2850624
Europe & Central Asia (excluding high income),,1985,3923361
Europe & Central Asia (excluding high income),,1986,3982505
Europe & Central Asia (excluding high income),,1987,4034492
Europe & Central Asia (excluding high income),,1988,4085641
Europe & Central Asia (excluding high income),,1989,4128542
Europe & Central Asia (excluding high income),,1990,4151873
Europe & Central Asia (excluding high income),,1991,4078481
Europe & Central Asia (excluding high income),,1992,4000442
Europe & Central Asia (excluding high income),,1993,3942781
Europe & Central Asia (excluding high income),,1994,3830581
Europe & Central Asia (excluding high income),,1995,3747849
Europe & Central Asia (excluding high income),,1996,3588146
Europe & Central Asia (excluding high income),,1997,3381828
Europe & Central Asia (excluding high income),,1998,3257097
Europe & Central Asia (excluding high income),,1999,3167113
Europe & Central Asia (excluding high income),,2000,3116220
Europe & Central Asia (excluding high income),,2001,3075760
Europe & Central Asia (excluding high income),,2002,3042778
Europe & Central Asia (excluding high income),,2003,2975949
Europe & Central Asia (excluding high income),,2004,2860252
Europe & Central Asia (excluding high income),,2005,2829468
Europe & Central Asia (excluding high income),,2006,2817522
Europe & Central Asia (excluding high income),,2007,2746623
Europe & Central Asia (excluding high income),,2008,2729436
Europe & Central Asia (excluding high income),,2009,2733226
Europe & Central Asia (excluding high income),,2010,2677482
Europe & Central Asia (excluding high income),,2011,2617366
Europe & Central Asia (excluding high income),,2012,2605964
Europe & Central Asia (excluding high income),,2013,2578175
European Union,,1970,4102287
European Union,,1980,4331933
European Union,,1985,4088555
European Union,,1990,3781174
European Union,,1991,3695381
European Union,,1992,3584353
European Union,,1993,3519892
European Union,,1994,3486190
European Union,,1995,3385491
European Union,,1996,3372569
European Union,,1997,3284187
European Union,,1998,3190906
European Union,,1999,3102942
European Union,,2000,3068100
European Union,,2001,3077992
European Union,,2002,3010884
European Union,,2003,2986904
European Union,,2004,2945117
European Union,,2005,2917906
European Union,,2006,2869948
European Union,,2007,2830541
European Union,,2008,2808754
European Union,,2009,2774178
European Union,,2010,2719199
European Union,,2011,2691344
European Union,,2012,2669037
European Union,,2013,2646584
European Union,,2014,2633261
European Union,,2015,2609581
European Union,,2016,2596331
European Union,,2017,2581370
Fiji,FJI,1960,1590
Fiji,FJI,1970,1515
Fiji,FJI,1975,1922
Fiji,FJI,1980,1788
Fiji,FJI,1981,1788
Fiji,FJI,1999,2096
Fiji,FJI,2004,1718
Fiji,FJI,2005,1717
Fiji,FJI,2008,1775
Fiji,FJI,2009,1793
Fiji,FJI,2011,1986
Finland,FIN,1970,69555
Finland,FIN,1980,74561
Finland,FIN,1985,68631
Finland,FIN,1990,62330
Finland,FIN,1991,56154
Finland,FIN,1992,55462
Finland,FIN,1993,50664
Finland,FIN,1994,50883
Finland,FIN,1995,47502
Finland,FIN,1996,47146
Finland,FIN,1997,40605
Finland,FIN,1998,40197
Finland,FIN,1999,39258
Finland,FIN,2000,38822
Finland,FIN,2001,38910
Finland,FIN,2002,38484
Finland,FIN,2003,37534
Finland,FIN,2004,37120
Finland,FIN,2005,37000
Finland,FIN,2006,36793
Finland,FIN,2007,35609
Finland,FIN,2008,34900
Finland,FIN,2009,33380
Finland,FIN,2010,31396
Finland,FIN,2011,29751
Finland,FIN,2012,28685
Finland,FIN,2013,26499
Finland,FIN,2014,24741
Finland,FIN,2015,23854
Finland,FIN,2016,21835
Finland,FIN,2017,18072
Fragile and conflict affected situations,,1960,209115
Fragile and conflict affected situations,,1970,256901
Fragile and conflict affected situations,,1990,291882
Fragile and conflict affected situations,,2006,381901
France,FRA,1974,562718
France,FRA,1975,571673
France,FRA,1976,574732
France,FRA,1977,588251
France,FRA,1978,596141
France,FRA,1979,609580
France,FRA,1980,612293
France,FRA,1981,615276
France,FRA,1982,612908
France,FRA,1983,605057
France,FRA,1984,602813
France,FRA,1985,594874
France,FRA,1986,586854
France,FRA,1987,584487
France,FRA,1988,582034
France,FRA,1989,573608
France,FRA,1990,564886
France,FRA,1991,562169
France,FRA,1992,553201
France,FRA,1993,549693
France,FRA,1994,539877
France,FRA,1995,529923
France,FRA,1996,525827
France,FRA,1997,515698
France,FRA,1998,505565
France,FRA,1999,502123
France,FRA,2000,499482
France,FRA,2001,496995
France,FRA,2002,494442
France,FRA,2003,485510
France,FRA,2004,476557
France,FRA,2005,455175
France,FRA,2006,451110
France,FRA,2007,450615
France,FRA,2008,443008
France,FRA,2009,429674
France,FRA,2010,416710
France,FRA,2011,414204
France,FRA,2012,414840
France,FRA,2013,413206
France,FRA,2014,410921
France,FRA,2015,408245
France,FRA,2016,404248
France,FRA,2017,399865
Gabon,GAB,1960,2862
Gabon,GAB,1970,5841
Gabon,GAB,1985,1284
Gabon,GAB,1990,3032
Gabon,GAB,2006,2860
Gabon,GAB,2008,1974
Gabon,GAB,2010,10232
Gambia,GMB,1960,431
Gambia,GMB,1985,1253
Gambia,GMB,1990,584
Gambia,GMB,2005,1235
Gambia,GMB,2009,1914
Gambia,GMB,2011,2033
Georgia,GEO,1980,45440
Georgia,GEO,1985,46505
Georgia,GEO,1986,47116
Georgia,GEO,1987,47944
Georgia,GEO,1988,47876
Georgia,GEO,1989,48012
Georgia,GEO,1990,47048
Georgia,GEO,1991,47383
Georgia,GEO,1992,48777
Georgia,GEO,1993,46121
Georgia,GEO,1994,46793
Georgia,GEO,1995,35678
Georgia,GEO,1996,25468
Georgia,GEO,1997,25490
Georgia,GEO,1998,24231
Georgia,GEO,1999,23654
Georgia,GEO,2000,19570
Georgia,GEO,2001,18065
Georgia,GEO,2002,16710
Georgia,GEO,2003,16597
Georgia,GEO,2004,16102
Georgia,GEO,2005,15220
Georgia,GEO,2006,14357
Georgia,GEO,2007,12739
Georgia,GEO,2008,12315
Georgia,GEO,2009,11825
Georgia,GEO,2010,11360
Georgia,GEO,2011,10518
Georgia,GEO,2012,9322
Georgia,GEO,2013,9666
Germany,DEU,1960,764556
Germany,DEU,1970,883313
Germany,DEU,1980,900319
Germany,DEU,1985,854534
Germany,DEU,1990,826103
Germany,DEU,1991,808140
Germany,DEU,1992,798183
Germany,DEU,1993,787217
Germany,DEU,1994,789952
Germany,DEU,1995,792277
Germany,DEU,1996,786382
Germany,DEU,1997,771127
Germany,DEU,1998,763039
Germany,DEU,1999,755322
Germany,DEU,2000,748125
Germany,DEU,2001,741149
Germany,DEU,2002,734148
Germany,DEU,2003,718047
Germany,DEU,2004,709640
Germany,DEU,2005,698303
Germany,DEU,2006,683484
Germany,DEU,2007,677799
Germany,DEU,2008,674420
Germany,DEU,2009,674830
Germany,DEU,2010,674473
Germany,DEU,2011,672573
Germany,DEU,2012,670443
Germany,DEU,2013,667560
Germany,DEU,2014,666337
Germany,DEU,2015,664364
Germany,DEU,2016,663941
Germany,DEU,2017,661448
Ghana,GHA,1960,5175
Ghana,GHA,1970,11555
Ghana,GHA,1975,12490
Ghana,GHA,1985,20032
Ghana,GHA,1990,21569
Ghana,GHA,2005,19633
Ghana,GHA,2009,21754
Ghana,GHA,2011,22849
Greece,GRC,1960,48324
Greece,GRC,1970,54515
Greece,GRC,1980,59784
Greece,GRC,1985,54639
Greece,GRC,1986,52826
Greece,GRC,1987,52003
Greece,GRC,1988,52192
Greece,GRC,1989,51456
Greece,GRC,1990,52004
Greece,GRC,1991,51600
Greece,GRC,1992,51995
Greece,GRC,1993,52302
Greece,GRC,1994,51513
Greece,GRC,1995,51755
Greece,GRC,1996,51983
Greece,GRC,1997,52240
Greece,GRC,1998,51458
Greece,GRC,1999,50580
Greece,GRC,2000,50787
Greece,GRC,2001,52138
Greece,GRC,2002,51240
Greece,GRC,2003,51362
Greece,GRC,2004,51489
Greece,GRC,2005,52511
Greece,GRC,2006,53701
Greece,GRC,2007,53888
Greece,GRC,2008,53652
Greece,GRC,2009,54704
Greece,GRC,2010,49828
Greece,GRC,2011,49692
Greece,GRC,2012,49100
Greece,GRC,2013,46510
Greece,GRC,2014,46160
Greece,GRC,2015,45945
Greece,GRC,2016,45273
Greece,GRC,2017,45267
Greenland,GRL,1970,666
Grenada,GRD,1960,560
Grenada,GRD,1970,685
Grenada,GRD,1980,514
Grenada,GRD,1990,771
Grenada,GRD,1993,803
Grenada,GRD,1995,552
Grenada,GRD,1996,532
Grenada,GRD,2000,638
Grenada,GRD,2002,715
Grenada,GRD,2003,593
Grenada,GRD,2005,429
Grenada,GRD,2007,273
Grenada,GRD,2008,274
Grenada,GRD,2009,254
Grenada,GRD,2011,374
Grenada,GRD,2012,376
Grenada,GRD,2013,400
Grenada,GRD,2014,403
Guatemala,GTM,1960,11079
Guatemala,GTM,1970,12205
Guatemala,GTM,1975,12885
Guatemala,GTM,1986,14525
Guatemala,GTM,1989,7944
Guatemala,GTM,1990,10190
Guatemala,GTM,1993,10933
Guatemala,GTM,1996,10434
Guatemala,GTM,2002,6104
Guatemala,GTM,2005,9167
Guatemala,GTM,2007,9590
Guatemala,GTM,2008,8404
Guatemala,GTM,2009,8590
Guatemala,GTM,2010,8778
Guatemala,GTM,2011,8969
Guatemala,GTM,2012,9162
Guatemala,GTM,2014,9554
Guinea,GIN,1960,2583
Guinea,GIN,1970,7306
Guinea,GIN,1988,3494
Guinea,GIN,1990,3498
Guinea,GIN,2005,2733
Guinea,GIN,2011,3126
Guinea-Bissau,GNB,1960,999
Guinea-Bissau,GNB,1970,1110
Guinea-Bissau,GNB,1980,1474
Guinea-Bissau,GNB,1981,1565
Guinea-Bissau,GNB,1990,1441
Guinea-Bissau,GNB,2007,988
Guinea-Bissau,GNB,2009,1484
Guyana,GUY,1960,3188
Guyana,GUY,1970,3358
Guyana,GUY,1975,3709
Guyana,GUY,1985,2690
Guyana,GUY,1993,2338
Guyana,GUY,1995,2360
Guyana,GUY,1996,2944
Guyana,GUY,2001,2161
Guyana,GUY,2005,2089
Guyana,GUY,2006,1866
Guyana,GUY,2007,1418
Guyana,GUY,2009,1495
Guyana,GUY,2014,1221
Haiti,HTI,1960,2354
Haiti,HTI,1970,3668
Haiti,HTI,1975,3953
Haiti,HTI,1980,4179
Haiti,HTI,1985,4582
Haiti,HTI,1990,5318
Haiti,HTI,1993,5962
Haiti,HTI,1996,5600
Haiti,HTI,2000,5925
Haiti,HTI,2007,12344
Haiti,HTI,2013,7280
Heavily indebted poor countries (HIPC),,1960,245278
Heavily indebted poor countries (HIPC),,1970,295268
Heavily indebted poor countries (HIPC),,1975,361248
Heavily indebted poor countries (HIPC),,1990,353248
Heavily indebted poor countries (HIPC),,2006,415556
High income,,1960,6795650
High income,,1970,7759815
High income,,1980,7844125
High income,,1985,7917548
High income,,1990,6310207
High income,,1991,6553708
High income,,1992,6275882
High income,,1993,7400591
High income,,1994,7506457
High income,,1995,7377502
High income,,1996,7185636
High income,,1997,7096095
High income,,1998,7105708
High income,,1999,7010129
High income,,2000,6798079
High income,,2001,6597916
High income,,2002,6620960
High income,,2003,6700143
High income,,2005,6414883
High income,,2006,6483412
High income,,2007,5105698
High income,,2008,6730795
High income,,2009,6499100
High income,,2010,4811848
High income,,2011,4711426
High income,,2012,6362958
High income,,2013,4838895
Honduras,HND,1960,3356
Honduras,HND,1970,4763
Honduras,HND,1975,5372
Honduras,HND,1980,4870
Honduras,HND,1985,5606
Honduras,HND,1990,4989
Honduras,HND,1993,4316
Honduras,HND,1996,6227
Honduras,HND,2002,6929
Honduras,HND,2008,5587
Honduras,HND,2009,6521
Honduras,HND,2010,6654
Honduras,HND,2011,5936
Honduras,HND,2012,6048
Honduras,HND,2013,6159
Honduras,HND,2014,6269
Hong Kong,HKG,1960,8121
Hong Kong,HKG,1970,16542
Hong Kong,HKG,1975,22492
Hong Kong,HKG,1980,20359
Hong Kong,HKG,1981,21303
Hong Kong,HKG,1985,26686
Hungary,HUN,1994,96193
Hungary,HUN,1995,90895
Hungary,HUN,1996,90739
Hungary,HUN,1997,82324
Hungary,HUN,1998,83159
Hungary,HUN,1999,82924
Hungary,HUN,2000,83730
Hungary,HUN,2001,80482
Hungary,HUN,2002,80253
Hungary,HUN,2003,80023
Hungary,HUN,2004,79846
Hungary,HUN,2005,79834
Hungary,HUN,2006,80341
Hungary,HUN,2007,72260
Hungary,HUN,2008,71322
Hungary,HUN,2009,71600
Hungary,HUN,2010,71818
Hungary,HUN,2011,71669
Hungary,HUN,2012,69449
Hungary,HUN,2013,69621
Hungary,HUN,2014,68910
Hungary,HUN,2015,68843
Hungary,HUN,2016,68713
Hungary,HUN,2017,68702
IBRD only,,1970,3636617
IBRD only,,1975,4262892
IBRD only,,1980,6537228
IBRD only,,1981,6497623
IBRD only,,1985,9056234
IBRD only,,1987,10035752
IBRD only,,1990,12056833
IBRD only,,1991,9806432
IBRD only,,2002,9070740
IBRD only,,2003,9457546
IBRD only,,2005,10227249
IBRD only,,2010,14153309
IBRD only,,2011,11624464
IDA & IBRD total,,1970,4113373
IDA & IBRD total,,1975,4940818
IDA & IBRD total,,1980,7442768
IDA & IBRD total,,1985,11020414
IDA & IBRD total,,1990,12961398
IDA & IBRD total,,1991,11796468
IDA & IBRD total,,2002,10812398
IDA & IBRD total,,2003,11731383
IDA & IBRD total,,2005,11994127
IDA & IBRD total,,2011,14443318
IDA blend,,1960,106456
IDA blend,,1970,161967
IDA blend,,1975,163144
IDA blend,,1980,412990
IDA blend,,1990,644374
IDA blend,,2000,499686
IDA blend,,2004,450669
IDA only,,1960,326253
IDA only,,1970,334984
IDA only,,1990,540978
IDA total,,1960,427694
IDA total,,1970,496923
IDA total,,1980,826335
IDA total,,1990,1216426
Iceland,ISL,1960,1721
Iceland,ISL,1970,2637
Iceland,ISL,1980,3376
Iceland,ISL,1985,3814
Iceland,ISL,1990,4256
Iceland,ISL,1991,4202
Iceland,ISL,1992,4151
Iceland,ISL,1993,3903
Iceland,ISL,1994,3911
Iceland,ISL,1995,3905
Iceland,ISL,2002,2156
Iceland,ISL,2006,1622
Iceland,ISL,2007,1283
Iceland,ISL,2008,1241
Iceland,ISL,2009,1178
Iceland,ISL,2010,1140
Iceland,ISL,2011,1050
Iceland,ISL,2012,1041
Iceland,ISL,2013,1043
Iceland,ISL,2014,1035
Iceland,ISL,2015,1032
Iceland,ISL,2016,1051
Iceland,ISL,2017,1052
Iceland,ISL,2018,1014
India,IND,1960,206795
India,IND,1970,335612
India,IND,1975,366509
India,IND,1980,537984
India,IND,1981,550417
India,IND,1985,603330
India,IND,1987,588696
India,IND,1991,701432
India,IND,2002,754389
India,IND,2003,1000371
India,IND,2005,469672
India,IND,2006,492698
India,IND,2007,482522
India,IND,2008,494510
India,IND,2009,540328
India,IND,2010,576793
India,IND,2011,784940
India,IND,2012,622628
India,IND,2013,628708
India,IND,2014,675779
India,IND,2015,754724
India,IND,2016,634879
India,IND,2017,710761
Indonesia,IDN,1960,64976
Indonesia,IDN,1970,75144
Indonesia,IDN,1975,106936
Indonesia,IDN,1985,91862
Indonesia,IDN,1989,125210
Indonesia,IDN,1990,120676
Indonesia,IDN,1991,123418
Indonesia,IDN,1992,124847
Indonesia,IDN,1993,125504
Indonesia,IDN,1994,128005
Indonesia,IDN,1998,123435
Indonesia,IDN,2002,130415
Indonesia,IDN,2009,141603
Indonesia,IDN,2010,137070
Indonesia,IDN,2011,149826
Indonesia,IDN,2012,203768
Indonesia,IDN,2013,245340
Indonesia,IDN,2014,236610
Indonesia,IDN,2015,249255
Indonesia,IDN,2016,256426
Indonesia,IDN,2017,271902
Iran,IRN,1960,20279
Iran,IRN,1970,39338
Iran,IRN,1980,57226
Iran,IRN,1981,60927
Iran,IRN,1987,77328
Iran,IRN,1988,78751
Iran,IRN,1990,80778
Iran,IRN,1996,99672
Iran,IRN,2000,104997
Iran,IRN,2001,106319
Iran,IRN,2002,107656
Iran,IRN,2003,108997
Iran,IRN,2004,110322
Iran,IRN,2005,118596
Iran,IRN,2006,119943
Iran,IRN,2007,121272
Iran,IRN,2008,100969
Iran,IRN,2009,102095
Iran,IRN,2010,125396
Iran,IRN,2011,126879
Iran,IRN,2012,7554
Iran,IRN,2013,114723
Iran,IRN,2014,116199
Iraq,IRQ,1960,13545
Iraq,IRQ,1970,19350
Iraq,IRQ,1980,26575
Iraq,IRQ,1981,26587
Iraq,IRQ,1989,29128
Iraq,IRQ,1990,28909
Iraq,IRQ,1998,32066
Iraq,IRQ,2000,28197
Iraq,IRQ,2001,31471
Iraq,IRQ,2002,32411
Iraq,IRQ,2003,33338
Iraq,IRQ,2004,34208
Iraq,IRQ,2005,34999
Iraq,IRQ,2006,35683
Iraq,IRQ,2007,36285
Iraq,IRQ,2008,36901
Iraq,IRQ,2009,37665
Iraq,IRQ,2010,38665
Iraq,IRQ,2011,39943
Iraq,IRQ,2012,41457
Iraq,IRQ,2013,43104
Iraq,IRQ,2014,48177
Ireland,IRL,1980,30715
Ireland,IRL,1981,31077
Ireland,IRL,1982,30675
Ireland,IRL,1983,30191
Ireland,IRL,1984,29672
Ireland,IRL,1985,29012
Ireland,IRL,1986,27964
Ireland,IRL,1987,25488
Ireland,IRL,1988,22560
Ireland,IRL,1989,21768
Ireland,IRL,1990,21435
Ireland,IRL,1991,21205
Ireland,IRL,1992,20283
Ireland,IRL,1993,19669
Ireland,IRL,1994,19029
Ireland,IRL,1995,18766
Ireland,IRL,1996,18551
Ireland,IRL,1997,18003
Ireland,IRL,1998,17821
Ireland,IRL,1999,17647
Ireland,IRL,2000,23592
Ireland,IRL,2001,22811
Ireland,IRL,2002,22805
Ireland,IRL,2003,22780
Ireland,IRL,2004,23200
Ireland,IRL,2005,22711
Ireland,IRL,2006,22472
Ireland,IRL,2007,22421
Ireland,IRL,2008,21789
Ireland,IRL,2009,12813
Ireland,IRL,2010,12434
Ireland,IRL,2011,12008
